430,syr_422,syr_434,syr_611,syr_612
ܒܪܝܢܐܕܢ,,omisit,ܡܬ̈ܠܐܕܐܠܦܐܚܝܩܪ܀,ܡܬ̈ܠܐܕܐܠܦܐܚܝܩܪ܀
ܫܡܥ,ܫܡܥ,,ܫܡܥ,ܫܡܥ
,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܡܠܝ̈,ܡ̈ܠܝ,,ܡ̈ܠܝ,ܡܠܝ̈
ܦܘܡܝ܂ܘܬܗܘܐܡܠܬܝܠܘܬܟܐܝܟܡܠܬܝܐܠܗܐ܀ܒܪܝܐܢܫܡܥܬܡܠܬܐܬܡܘܬܒܠܒܟ܂ܘܠܐܬܓܠܝܗ̇ܠܐ̄ܚܪܝܢ܂ܕܠܡܐܬܦܘܫ,ܘܨܘܬ,,ܘܨܘܬ,ܘܨܘܬ
,ܐܢܝ̈ܢ܂,,ܐܢܝ̈ܢ܂,ܐܢܝܢ܂
,ܘܢܗܘ̈ܝܢܒܠܒܟܘܠܐ̄ܢܫܠܐܬܓܠܝܗ,,ܘܢܗܘ̈ܝܢܒܠܒܟܘܠܐ̄ܢܫܠܐܬܓܠܝܗ,ܘܢܗܘ̈ܝܢܒܠܒܟܘܠܐ̄ܢܫܠܐܬܓܠܝܗ
,,,ܠܡܠܬܝ,ܠܡܠܬܝ
,ܕܠܡܐܬܗܘܐ,,ܕܠܡܐܬܗܘܐ,ܕܠܡܐܬܗܘܐ
ܓܡܘܪܬܐ,ܓܡܘܪܬܐ,,ܓܡܘܪܬܐ,ܓܡܘܪܬܐ
ܘܬܘܩܕܠܫܢܟ܆,ܒܦܘܡܟ,,ܒܦܘܡܟ,ܒܦܘܡܟ
,ܘܬܟܘܟ܂,,ܘܬܟܘܟ܂,ܘܬܟܘܝܟ܆
,ܘܡܘܡܐ,,ܘܡܘܡܐ,ܘܡܘܡܐ
,ܬܥܒ̇ܕܒܠܫܢܟ܂,,ܬܥܒܕ,ܬܥܒܕ
,,,ܒܠܫܢܟ܂,ܒܠܫܢܟ܆
,ܘܥܠܐܠܗܐ,,ܘܥܠܐܠܗܐ,ܘܥܠܐܠܗܐ
,ܬܬܪܥܡ܂ܒܪܝ,,ܬܬܪܥܡ܀,ܬܬܪܥܡ܀
,,,,ܐ܀
,,,ܒܪܝܢܕܢ,ܒܪܝܢܕܢ
,ܒܟܠ,,ܒܟܠ,ܒܟܠ
,ܕܡܪܓܫܐ̄ܢܬ,,ܕܡܖܓܫܐܢ̄ܬ,ܕܡܖܓܫܐܢ̄ܬ
,ܠܐܬܐܡܪ܂ܘܟܠܕܚܙܐ,,ܠܐܬܐܡܪ܂ܘܟܠܕܚܙܐ,ܠܐܬܐܡܪ܂ܘܟܠܕܚܙܐ
,ܐܢܬ,,ܐܢ̄ܬ,ܐܢ̄ܬ
,ܠܐܬܓܠܐ܀,,ܠܐܬܓܠܐ܀,ܠܐܬܓܠܐ܀
,,,,ܒ܀
,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ
,ܬܫܪܐ܂,,ܬܫܪܐ܂,ܬܫܪܐ
