430,syr_422,syr_434,syr_611,syr_612
omisit,ܘܟܕܫܡܥܕܝܢܢܕܢ,omisit,ܘܟܕܫܡܥܕܝܢܢܕܢ,
,ܢܕܣܟܠܐ,,ܣܟܠܐ,
,ܡ̈ܠܐ,,ܡ̈ܠܐ,ܡ̈ܠܐ
,ܗܠܝܢ,,ܗܠܝܢ܂,ܗܠܝܢ܂
,,,,unclear
,,,ܐܬܢܦܚ,ܐܬܢܦܚ
,ܒܪ,,ܒܪ,ܒܪ
,ܫܥܬܗܐܬܢܦܚ܂,,ܫܥܬܗ܂,ܫܥܬܗ܂
,ܘܗܘ̤ܐ,,ܘܗܘ̤ܐ,ܘܗܘܐ
,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܓܪܒܐܕܢܦܝܚ܂ܘܗܘ̤ܬܚܪܬܗܠܐܒܕܢܐܘܐܙܠܠܓܗܢܐ܂ܒܕܐܡܝܪܗܟܝܠܒܟܬܒܐܕܡܬ̈ܠܐ܂,,ܙܩܐܕܢܦܝܚܘܐܒܕ,ܙܩܐܕܢܦܝܚܘܐܒܕ
,,,ܘܐܬܦܪܬܘܕܦܢ̈ܬܗܘܡܝܬ܂,ܘܐܬܦܪܬܕܦܢܬܗ̈ܘܡܝܬ܂
,,,ܐܟܡܐܕܐܡܝܪ,ܐܟܡܐܕܐܡܝܪ
,,,ܒܡܬ̈ܠܐ܂,ܒܡܬܠܐ܇
,ܕܢܥܒܕ,,ܕܢܥܒܕ,ܕܢܥܒܕ
,,,ܓܝܪ,ܓܝܪ
,,,ܛܒܬܐ܂,
,ܛܒܬܐ,,ܛܒܬܐ,ܛܒܬܐ
,ܒܛܒܬܐܢܐܪܥܝܘܗܝܡܪܝܐܘܕܢܥܒܕܒܝܫܬܐ,,ܢܦܪܥܝܘܗܝ,ܢܦܪܥܝܘܗܝ
,,,ܡܪܝܐ܂,ܡܪܝܐ܇
,,,ܘܒܝܫܬܐܬܘܒ,ܘܒܝܫܬܐܬܘܒ
,ܒܒܝܫܬܐ,,ܒܒܝܫܬܐ,ܒܒܝܫܬܐ
,ܢܐܪܥܝܘܗܝܡܪܝܐܘܕܚܦܪܠܡܒܪܐܠܚܒܪܗܗܘ̤ܢܦܠܒܗ̇ܘܕܨܠܐܦܚܐܗܘܡܬܬܚܕܒܗ܂ܘܡܚܑܓܪܒܗܘܬܐܫܝܘܠܝܬܐ܇,,ܢܬܦܪܥ,ܢܬܦܪܥ
,,,܀܀ܫܠܡܬܒܐܝܕ̈ܝܐܣܛܝܦܢܪܝܣܕܟܢܫܐܡ̣ܢܬܪ̈ܬܝܢܐܢܨܚ̈ܬܐܥܬܝܩ̈ܐ܆܏ܗ܆ܗܢܘ܆ܫܢܬܐܦܦܓܒܕܝܪܐ܆ܠܡܪܢܒܝܪܚܢܝܣܢܫܠܡܬܩܫܝܫܐܐܪܡܝܐ,܀܀܀܀܀܀܀܀ܫܠܡ܀ܣܪܝܛܐܕܬܫܥܝܬܐܕܐܚܝܩܪܦܝܠܣܘܦܐ
