Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
omisit,ياولدينادانعملة,,,كلمافعلته,,,,بحكمة,omisit
,,يا,يا,,يا,يا,يا,(يا,
,,بنى,بني,,ابني,بنيّ,بني,بني),
,,عملت,عملت,,عملت,عملت,عملت,عملت,
,معك,معك,معك,معك,معك,معك,معك,معك,
,كل,كل,كل,منالاحسانوالجميل,كل,كل,كل,كل,
,خيرًا,خير,خير,,خير,خير,خير,خير,
,واحسانوانت,واحسانوانت,واحسانوانت,,واحسانوانت,واحسان_وانت,واحسانوانت,واحسانوانت,
,باديتني,باديتنى,باديتني,باديتني,باديتني,باديتني,باديتني,باديتني,
,,,,,عوضه,,,,
,,,,بالقتل,بالقتل_,,,,
,عوضه,عوضه,عوضه,عوضه,,عوضه,عوضه,عوضه,
,بالقبيح,بالقبيح,بالقبيح,يابنيقد,يابنيقد,بالقبيح,بالقبيح,بالقبيح,
,والردي,والردا,والردا,,,والردا,والردا,والردا,
,والقتليا,والقتليا,والقتليا,,,والقتل_يا,والقتليا,والقتل(يا,
,بني,بنى,بني,,,بنيّ,بني,بني),
,قيل,قيل,قيل,قيل,قيل,قيل,قيل,قيل,
,بالامثال,بالامثال,في,فى,في,بالامتال,بالامثال,بالامثال,
,,,الامتال,الامثال,الامثال,,,,
,من,من,من,من,من,من,من,من,
,لا,لا,لم,لم,لم,لا,لا,لا,
,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,
,اذنيه,ادنيه,ادانيه,اذنيه,اذنيه,اذنيه_,ادنيه,اذنيه,
,من,من,من,من,من,من,من,من,
,ققا,قفا,قفا,قفا,قفا,قفا,قفا,قفا,
,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,
,يسمعوه,يسمعوه,يسمعوه,,يسمعوه,يسمّعوه_,يسمعوه_,يسمعوه_,
,يسمع,,,يسمع,,,,,
,ق_رميهفيرجليه,,,,,,,,
,فقال,فقال,فقال,فقال,فقال,فقال,فقال,فقال,
,,له,له,له,له,له,,له,
,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
,,يا,يا,يا,يا,يا,يا,يا,
,,خالىلاىسبب,خالي,خالهِعليايشي,خالي,خالي,خالي,خالي,
,لايسبب,,لايسبب,,لايسبب,لايسبب,لايسبب,لايسبب,
,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,
,عليّ,علىّ,علي,علىّ,عليّ,عليّ_,عليّ,عليّ_,
,فقال,قال,قال,فقال,فقال,قال,قال,قال,
,له,له,له,له,,له,له,له,
,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,
,,,,,,_,,,
,لاجل,لاجل,لاجل,لاجل,لاجل,لاجل,لاجل,,
,اني,انى,اني,الذيقويتكوعلمتكوحكمتك,انَّيوقّرتكوكرَّمتك,اني,اني,اني,
,ربيتكوعلمتكووقرتك,وقرتك,وقرتك,,,وقرّتك,وقرتك,وقرتك,
,واكرمتك,واكرمتك,وكرمتكوعضمتك,,,واكرمتك,واكرمتك,واكرمتك,
,وعظمتك,وعظمتك,,,وعظمتك,وعظّمتكوربّيتك,وعظمتك,وعظمتك,
,وربيتك,وربيتك,وربيتك,وربيتك,وربيتك,,وربيتك,وربيتك,
,باحسنالتربيهواجلستكموضعيحتىانك,احسن,احسن,اجمل,احسن,احسن,احسن,احسن,
,,تربيه,تربيه,تربيه,تربيه,تربيه_,تربيه,تربيه,
,,وعلمتك,وعلمتك,,وعلمتك,وعلّمتك,وعلمتك,وعلمتك,
,,حتى,حتي,حتى,حتى,حتى,حتي,حتي,
,تكون,تكون,تكون,تكون,تكون,تكون,تكون,تكون,
,وريثي,وريتى,وريتي,وريتهِوجالسمكاني,وريثي,وريثي,وريتي,وريتي,
,في,في,في,,في,في,في,في,
,العالم,العلم,العلم,,العلم,العالم,العلم,العلم,
,,والحكمه,والحكمه,,والحكمه,والحكمه,والحكمة,والحكمة,
,,والمال,والمال,,والادب,والمال_,والمال,والمال_,
,فباديتني,فباديتنى,فباديتني,فباديتني,فباديتني,فباديتني,فباديتني,فباديتني,
,فيالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,
,وردت,ورمت,ورمت,والشتيموالسبورميتنيللهلاكبالسيف,وردت,ورمت,ورمت,ورمت,
,هلاكي,هلاكى,هلاكي,,هلاكى,هلاكي_,هلاكي_,هلاكي_,
