430,syr_422,syr_434,syr_611,syr_612
ܐܘ,ܕܐܚܛܛܥܝܢ̈ܝܟ̈ܘܐܦܣܘܩܠܫܢܟ܂ܘܒܣܝܦܐܐܫܩܘܠܪܫܟ܂ܘܟܠܒܝܫ̈ܬܐܐܣܒܠܟ܂,ܐܡܪ,,
ܒܪܝܐܡܝܪ,,,ܒܪܝܐܡܝܪ,ܒܪܝܐܡܝܪ
,ܘܥܢܐܢܕܢ,,,
ܒܡܬ̈ܠܐܕܥܬܝ̈ܩܐ,,,ܗ̄ܘ̣ܒܡ̈ܬܠܐ܂ܡ̇ܢ,ܗ̄ܘܒܡܬ̈ܠܐ܂
ܡܢ,,,,ܡܢ
ܕܠܐܫܡܥ,,ܕܠܐܫܡܥ,ܕܠܐܫܡܥ,ܕܠܐܫܡܥ
ܒܐܕܢܗ,,ܒܐܕܢ̈ܘܗܝ܆,ܒܐܕܢܗ,ܒܐܕܢܗ
,,ܡܢ,,
ܡܫܡܥܝܢܠܗ,,,ܡ̣ܢ,ܡ̣ܢ
ܒܣܬܪ,,ܒܣܬܪ,ܒܣܬܪ,ܒܣܬܪ
ܩܕܠܗ܆ܗܝܕܝܢ:ܐܡܪܠܝܢܐܕܢܒܝܫܓܕܐܡܛܠܡ̇ܢܪܓܝܙ,,ܩܕܠܗ,ܩܕܠܗ,ܩܕܠܗ
,,ܡܫِܡܥܝܢܠܗ♰♰ܬܘܒ♰ܦܚܐܨܠܐܗܘܐܒܩܩܠܬܐ܂ܘܐܫܟܚܗܩܦܫܝܢܐ,ܐܫܡܥܘܗܝ܀,ܐܫܡܥܝܘܗܝ܀ܐ܀
,,,ܘܥܢܐܢܕܢ,ܘܥܢܐܢܕܢ
,ܘܐܡܪ,ܘܐܡܪ,ܘܐܡܪ,ܘܐܡܪ
,ܠܝܚܣܠܟܕܢܗܘܘܢܠܟܒܝ̈ܫܬܐ,ܠܗ܆,ܠܝ܂,ܠܝ܂
,,,ܥܠܡܢܐ,ܥܠ
,,ܡܢܐ,,ܡܢܐ
,,,ܪܓܝܙ,ܪܓܝܙ
ܐܢ̄ܬ,ܐܢ̄ܬ,,ܐܢ̄ܬ,ܐܢ̄ܬ
ܥܠܝ܂ܐܡܪܬܠܗܡܛܠܕܚܒܒܬܟܘܝܩܪܬܟܘܪܒܝܬܟܘܥܠܝܬܟܠܕܪܓܐܕܐܝܩܪܐ܂,ܐܝܟܛܝܒ݂ܘܬܟ,,ܥܠܝܐܘ,ܥܠܝܐܘ
,ܥܒܕ,ܥܒܕ,ܐܚܝܩܪ܂,ܐܚܝܩܪ
,ܥܡܝܘܚܣܐܠܝܚܘܒܝ̈ܘܗܘܡܐܕܚܛܝܬܩܕܡܝܟ܂,ܐܢܬܗܪܟܐ܂,ܐܡܝܪ,ܐܡܝܪ
,,,ܟܬܒܐ܂,ܒܟܬܒܐ܇
,,,ܕܠܐܬܦܪܘܥܒܝܫܬܐܒܓܘܒܝܫܬܐ܀,ܕܠܐܬܦܪܘܥܒܝܫܬܐܒܓܘܒܝܫܬܐ܀
,,,,ܒ܀
,,,ܬܘܒܐܡܪܐܚܝܩܪ܂ܒܪܝܐܢܐܝܩܪܬܟܘܪܒܝܬܟ܂ܘܩܕܡܟܘܕܣܝܡܠܟܘܬܐ,ܬܘܒܐܡܪܐܚܝܩܪ܂ܒܪܝܐܢܐܝܩܪܬܟܘܪܒܝܬܟ܂ܘܩܕܡܟܘܕܣܝܡܠܟܘܬܐ
,,,ܐܩܝܡܬܟ܂,ܐܩܝܡܬܟ܇
ܘܐܢ̄ܬܕܝܢ,,,ܘܐܢ̄ܬܕܝܢ,ܘܐܢ̄ܬܕܝܢ
ܣܚܦܬܢܝ,,,ܕܚܝܬܢܝ,ܕܚܝܬܢܝ
ܡ̣ܢ,,,ܡ̣ܢ,ܡܢ
ܩܝܡܝ,,,ܡܘܬܒܝ܂,ܡܘܬܒܝ܂
ܘܪܚܡܬܩܛܠܝ܂ܒܪܡ,,,ܘܪܚܡܬܩܛܠܝ܂ܒܪܡ,ܘܪܚܡܬܩܛܠܝ܂ܒܪܡ
,,,ܕܝܢ,ܕܝܢ
ܐܠܗܐܦܨܝܢܝ,,,ܐܠܗܐܦܨܝܢܝ,ܐܠܗܐܦܨܝܢܝ
ܕܝܕܥ,,,,
,,,ܕܛܠܝܡ,ܕܛܠܝܡ
ܕܛܠܝܡ,,,,
,,,ܗ̄ܘܝܬ܂ܡܛܠ,ܗ̄ܘܝܬ܂ܡܛܠ
ܐ̄ܢܐ܂ܘܗܘ̤ܝܘܡܡܟܟ,ܕܐܠܗܐ,,ܕܐܠܗܐ,ܕܐܠܗܐ
,ܫܒܩܚܘ̈ܒܐܕܚܝܒ̈ܐܘܕܚܛ̈ܝܐܘܡܩܒܠܠܬܝܒ݂̈ܐ܂ܐܢْܐܕܝܢܩܒܠܝܢܝܕܐܗܘܐܡܫܡܫܪ̈ܟܫܝܟܘܐܪܥܐܚܙܝܪ̈ܝܟܘܐܚܘܡܙܒ݂ܠܟ܂ܘܐܢܐܡ̇ܢܐܬܩܪܐܓܒܪܐܒܝܫܐܘܐܢ̄ܬ݁ܓܒܪܐܛܒܐ܆ܐܡܪܬܠܗܓܝܪ,,ܕܚܐ,ܕܚܐ
ܠܡܫܩ̈ܠܐ܂,,,ܠܡܫܩ̈ܠܐ܂,ܠܡܫܩ̈ܠܐ܂
ܐܘ,,,ܘܝܨܦ,ܘܝܨܦ
ܒܪܝ,ܒܪܝ,,ܕܬܒܝܪܝ,ܕܬܒܝܖ̈ܝ
ܗܘܝܬܠܝܐܝܟ,ܥܠܝܡܘܬܢܫܪܐܛܒܐܗ̄ܝ,,ܠܒܐ܀,ܠܒܐ܀
,,,,ܓ܀
,,,ܒܪܝܗܘܝܬܠܟܐܝܟ,ܒܪܝܗܘܝܬܠܟܐܝܟ
ܥܩܪܒܐ,,,ܥܩܪܒܐ,ܥܩܪܒܐ
